movieId,id
58559,155
109487,157336
5618,129
7153,122
3147,497
202439,496243
2959,550
163134,372058
4993,120
5952,121
2324,637
79132,27205
195159,324857
47,807
112552,244786
31658,4935
6016,598
36086,19404
5995,423
2329,73
92259,77338
286897,569094
122912,299536
2571,603
27773,670
3000,128
68157,16869
3578,98
122914,299534
74458,11324
2028,857
177765,354912
99114,68718
166291,378064
194448,490132
48780,1124
163645,324786
4226,77
1682,37165
281096,315162
48516,1422
204698,475557
88810,50014
1704,489
214612,637920
50,629
274053,361743
198147,527641
60069,10681
88125,12445
168492,398818
7361,38
218801,696374
243642,791373
104879,146233
225173,508442
180095,406997
106782,106646
40629,4348
231413,635302
208939,508965
2810,10494
109374,120467
177593,359940
2542,100
158783,290098
8368,673
287699,872585
166643,381284
56782,7345
116797,205596
2858,14
3949,641
5989,640
1,862
6874,24
208703,530915
192803,424694
68954,14160
205156,515001
165551,334543
64614,13223
140174,264644
118896,265177
167832,411088
203375,359724
263007,634649
96829,103663
249540,337404
31364,11423
73290,28178
97,406
2762,745
2691,10376
55820,6977
778,627
112852,118340
1721,597
134853,150540
4896,671
30707,70
105844,76203
152017,296096
110,197
16,524
101962,110420
170697,400928
219994,600354
184997,449176
164909,313369
112556,210577
4973,194
44191,752
106100,152532
4144,843
1907,10674
285593,447365
8533,11036
223041,724089
104374,122906
44555,582
7438,393
6,949
86781,46738
202749,531428
47099,1402
230415,447362
2761,10386
241272,615457
4886,585
66097,14836
106920,152601
76093,10191
180985,316029
27156,18491
50872,2062
280868,555604
207313,546554
168252,263115
215,76
4995,453
6377,12
6539,22
277400,762975
158966,334533
1732,115
89745,24428
117176,266856
80586,43949
40815,674
210175,606856
608,275
152081,269149
91529,49026
78499,10193
209315,331482
55721,7347
4011,107
96821,84892
194074,470044
254726,438631
27423,40096
142488,314365
64034,14574
198611,504253
188829,517814
55247,5915
237227,527774
741,9323
4878,141
4306,808
233095,458220
247988,508943
128360,273248
81834,12444
215335,618344
115667,200727
39183,142
183897,399174
73881,20453
4848,1018
204836,522924
157318,381341
160718,399106
215173,678512
71033,25376
48394,1417
89774,59440
204158,568160
179133,339877
33794,272
72226,10315
115617,177572
265550,438695
79357,31011
8961,9806
114554,149871
5816,672
31410,613
63082,12405
162082,396535
7147,587
1617,2118
272993,761053
116897,265195
134130,286217
81845,45269
196937,503314
69844,767
270698,545611
196417,166428
6870,322
81591,44214
115569,242582
54001,675
268642,414906
267456,785084
263481,522402
276231,610150
224264,501929
272079,810693
224052,441130
120130,92321
104913,96721
205441,492188
59315,1726
193439,538362
283873,603692
110102,100402
174879,38286
49910,1646
26903,37797
140715,277216
185385,419478
236991,776503
112175,82702
8638,80
122904,293660
4022,8358
46578,773
200842,522518
65261,12429
288135,1010581
119145,207703
111759,137113
5066,10229
122918,283995
168250,419430
164179,329865
215623,664767
276929,766507
98491,140420
65514,14756
72998,19995
104283,149870
122882,76341
104728,164558
72641,22881
94959,83666
213353,592350
278578,49046
210861,522627
280218,76600
156387,369557
208469,522212
3114,863
81847,38757
122916,284053
5389,9023
117438,242828
224268,630566
213207,508439
52885,4977
140956,333339
82667,49797
282161,937278
64957,4922
3160,334
286131,502356
55442,2011
176371,335984
111921,222935
88129,64690
117444,110416
286783,792307
115713,264660
106489,57158
32,63
188773,505192
191351,466282
74787,26022
48774,9693
261273,482321
289097,980489
168798,255709
4720,1933
2572,4951
260667,568124
166461,277834
37729,3933
89759,60243
289727,930094
64716,11321
169948,382591
94675,61979
7143,616
49272,36557
199476,491480
4016,11688
139385,281957
3910,16
284293,882569
242894,399566
205303,379170
85774,58496
1527,18
7371,553
146309,315465
206857,398978
7254,1954
220854,583083
55052,4347
115210,228150
30749,205
111362,127585
103688,138843
244334,637649
1688,9444
48304,1579
51255,4638
85342,47931
273133,705861
55765,4982
628,1592
1625,2649
281188,916224
51540,1949
49530,1372
286903,976573
226270,556984
57504,14069
8874,747
1653,782
193065,426426
27815,5528
5444,11544
166528,330459
183397,397567
2357,666
68237,17431
167732,404378
187593,383498
57183,7508
141749,306819
162578,313297
212361,502033
41571,1904
255335,566525
105504,109424
225984,580175
167380,381289
192385,332562
8607,13398
277282,585511
246604,283566
165549,334541
83132,51739
265460,756999
86882,59436
3186,3558
179779,437068
1673,4995
5418,2501
218657,667520
7981,10775
63062,3580
193950,515042
2696,9421
226202,550988
3967,71
132424,228205
105,688
1061,819
79702,22538
115149,245891
122920,271110
1566,11970
244492,550205
5882,9016
8950,4553
251086,436969
200328,342470
209433,638507
174055,374720
189713,487558
4308,824
3916,10637
283577,666277
33493,1895
190555,489999
171763,339403
201588,301528
187541,260513
112183,194662
4776,2034
1466,9366
277028,698948
4963,161
231701,414419
4235,55
106487,101299
183837,375262
122922,284052
32587,187
112804,244267
70286,17654
55908,13363
200818,458156
115122,246741
2712,345
271799,675353
205945,537061
132480,293863
288265,575264
143245,309809
202429,466272
261131,614917
57669,8321
183699,488623
31225,7214
112290,85350
201340,503919
98056,86837
205329,581528
122906,284054
178061,389015
114662,190859
210849,481848
7318,615
213347,520763
1645,1813
214320,313106
64839,12163
68358,13475
201773,429617
180137,430424
45722,58
278820,724495
189203,500664
97938,87827
152970,371645
176211,455661
288311,961323
164411,393559
8957,176
185029,447332
204694,431693
156944,335578
250546,691179
3535,1359
106441,203833
89118,63311
54286,2503
110501,180299
139644,273481
116855,237791
281288,851644
59369,8681
149334,340666
45720,350
224983,529203
5064,11362
7445,9509
150,568
273891,718930
252590,588228
278980,804095
133645,258480
1407,4232
44665,186
4979,9428
261705,537116
90376,71859
189333,353081
2966,404
33660,921
98809,49051
146656,312221
67255,15472
8529,594
108932,137106
3083,99
175569,395834
192383,451915
76091,30018
5218,425
80463,37799
288773,915935
275503,965150
275243,614934
1464,638
192649,505262
142184,81481
272417,579974
115664,228326
30803,1280
73808,13855
193942,491418
2687,37135
102407,64682
103984,179144
167392,360814
104272,158999
114935,206487
62644,7735
224280,370172
166534,381288
6711,153
104944,169813
1584,686
139120,336804
276047,682507
5014,10950
61240,13310
7323,338
107069,193756
97913,82690
236883,730154
90474,71157
127202,308369
251234,423108
212583,506574
40819,69
44199,388
102903,75656
129721,50531
168248,324552
148626,318846
206419,551332
91658,65754
3897,786
109633,198375
69122,18785
280412,1022256
159195,374473
117881,284293
64622,8055
5010,855
117533,293310
88179,51828
88744,61791
162414,376867
5445,180
282041,995133
118696,122917
187145,476292
118702,227306
208108,552178
98243,81188
112623,119450
2997,492
135143,259316
60684,13183
8014,113
71838,22803
31878,9470
174859,451945
99145,80278
48997,1427
89904,74643
115147,239571
3408,462
284291,726759
86892,51608
5349,557
207213,575452
114028,234200
188675,483184
199470,484468
1729,184
100714,132344
96488,84334
