movieId,id,title,genres,overview,runtime,release_date,tagline,vote_count,vote_average,poster_path,backdrop_path,cast,director,keywords,score
221850,614696,#Alive,"['Action', 'Horror', 'Science Fiction']","As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",98,2020-06-24,You must survive.,1927,7.222,/lZPvLUMYEPLTE2df1VW5FHTYC8N.jpg,/k2SY15W9QXH9qL8f4a4BbytV1BE.jpg,"['Yoo Ah-in', 'Park Shin-hye', 'Lee Hyun-wook']",Cho Il,"['escape', 'alone', 'survival', 'drone', 'zombie', 'apartment building', 'zombie apocalypse', 'virus', 'live stream', 'south korea', 'apartment', 'frightened']",7.220983888297339
117867,252178,'71,"['Thriller', 'Action', 'Drama', 'War']",A young British soldier must find his way back to safety after his unit accidentally abandons him during a riot in the streets of Belfast.,99,2014-10-10,,1155,6.802,/wbhqBocsP7QoX8SZLvCsGOWUAaQ.jpg,/aTloiKdNs2c8vlstbx3wBWD6Thi.jpg,"[""Jack O'Connell"", 'Sean Harris', 'Paul Anderson']",Yann Demange,"['1970s', 'riot', 'northern ireland', 'survival', 'soldier', 'ira (irish republican army)', 'explosion', 'combat', 'belfast, north ireland', 'abandoned']",6.822391240032814
69757,19913,(500) Days of Summer,"['Comedy', 'Drama', 'Romance']","Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",95,2009-07-17,This is not a love story. This is a story about love.,10548,7.296,/qXAuQ9hF30sQRsXf40OfRVl0MJZ.jpg,/1M2i4Mxd03elGOTmEkIvqrHfmyS.jpg,"['Joseph Gordon-Levitt', 'Zooey Deschanel', 'Geoffrey Arend']",Marc Webb,"['jealousy', 'gallery', 'fight', 'date', 'architect', 'interview', 'sister', 'love', 'friends', 'fate', 'los angeles, california', 'summer', 'year', 'heartache', 'assertive']",7.295363072144742
152077,333371,10 Cloverfield Lane,"['Thriller', 'Science Fiction', 'Drama', 'Horror']","After a catastrophic car crash, a young woman wakes up in a survivalist's underground bunker, where he claims to have saved her from an apocalyptic attack that has left the outside world uninhabitable.",104,2016-03-10,Monsters come in many forms.,8238,6.992,/84Dhwz93vCin6T1PX6ctSvWEuNE.jpg,/veGaHYcRHFPEoKfqxKbCEXI8tOT.jpg,"['John Goodman', 'Mary Elizabeth Winstead', 'John Gallagher Jr.']",Dan Trachtenberg,"['kidnapping', 'paranoia', 'bunker', 'basement', 'survivalist', 'apocalypse', 'car accident', 'captive']",6.993529381064804
2572,4951,10 Things I Hate About You,"['Comedy', 'Romance', 'Drama']","On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",97,1999-03-30,How do I loathe thee? Let me count the ways.,8498,7.596,/ujERk3aKABXU3NDXOAxEQYTHe9A.jpg,/yvPbncYhMu9FfTjDhq0N5lgnVkO.jpg,"['Heath Ledger', 'Julia Stiles', 'Joseph Gordon-Levitt']",Gil Junger,"['high school', 'deception', 'based on play or musical', 'coming of age', 'teen movie', 'shrew', ""valentine's day"", 'shakespeare in modern dress', 'opposites attract', 'duringcreditsstinger', 'teenage romance', 'overprotective father']",7.59296810576968
166312,402693,100 Meters,"['Comedy', 'Drama']","Based on the incredibly true story of a Spanish man with Multiple Sclerosis who tried to finish an Iron-Man: 3,8km swimming, 180km cycling and 42 running. And he was told that he could not make 100 meters.",108,2016-11-04,,294,7.4,/uqrRtRwH4qNMYA1xKTGLD9kvKK1.jpg,/eduYYQSmT4NLQlNhsrU9BdSPTFm.jpg,"['Dani Rovira', 'Alexandra Jiménez', 'Karra Elejalde']",Marcel Barrena,"['sports', 'biography', 'based on true story', 'blindfold', 'swimming', 'disability', 'multiple sclerosis']",7.362527713966481
27674,9282,11:14,"['Thriller', 'Comedy', 'Crime']",Tells the seemingly random yet vitally connected story of a set of incidents that all converge one evening at 11:14pm. The story follows the chain of events of five different characters and five different storylines that all converge to tell the story of murder and deceit.,86,2003-09-05,Fate can change in seconds.,892,6.801,/3TFB0Doe92l9Jgc5qtUnE6r9rqt.jpg,/72jbXJIXiGdLzrqfbKynVhtnl5b.jpg,"['Rachael Leigh Cook', 'Ben Foster', 'Clark Gregg']",Greg Marcks,"['robbery', 'police', 'ambulance', 'chase', 'alcohol', 'gun', 'vandalism', 'arrest', 'cop', 'murder', 'crash', 'connected', 'frantic', 'absurd', 'suspenseful', 'bewildered', 'farcical']",6.827067909623432
77846,12219,12 Angry Men,"['Drama', 'TV Movie']","During the trial of a man accused of his father's murder, a lone juror takes a stand against the guilty verdict handed down by the others as a result of their preconceptions and prejudices.",117,1997-08-17,,403,7.7,/whDdYx3lh1LHTN0VlPFt51fX29g.jpg,/rTf1rucbSn8IaW4AU11lvBk3JmX.jpg,"['Courtney B. Vance', 'Ossie Davis', 'George C. Scott']",William Friedkin,"['death penalty', 'right and justice', 'court', 'judge', 'jurors', 'revelation', 'trial', 'jury', 'remake', 'lawyer', 'argument', 'xenophobia', 'judicial system']",7.630160431691649
252184,625169,12 Mighty Orphans,"['History', 'Drama', 'Action']","Haunted by his mysterious past, a devoted high school football coach leads a scrawny team of orphans to the state championship during the Great Depression and inspires a broken nation along the way.",118,2021-06-18,Based on the true story of the team that inspired a nation.,233,7.157,/aIY2QF211NLB1AOjZPFImusCLI1.jpg,/eg6cyUItUFSBi8ohc9sjehqpJi2.jpg,"['Luke Wilson', 'Vinessa Shaw', 'Wayne Knight']",Ty Roberts,"['underdog', 'based on novel or book', 'sports', 'war veteran', 'american football', 'orphanage', 'american football coach', 'great depression', 'based on true story', 'flashback', 'orphan', 'child labor', 'inspiring story', 'dust bowl', 'aftercreditsstinger', '1940s', '1930s', 'group home']",7.164195022222222
105844,76203,12 Years a Slave,"['Drama', 'History']","In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",134,2013-10-18,The extraordinary story of Solomon Northup,11562,7.939,/xdANQijuNrJaw1HA61rDccME4Tm.jpg,/4Bb1kMIfrT2tYRZ9M6Jhqy6gkeF.jpg,"['Chiwetel Ejiofor', 'Michael Fassbender', ""Lupita Nyong'o""]",Steve McQueen,"['slavery', 'plantation', 'based on memoir or autobiography', 'violin player', 'physical abuse', 'black slave', 'usa history', 'slave owner', '19th century', 'sold into slavery', 'abolitionist', 'landowner', 'abuse of power', 'african american history']",7.93487897140891
