userId,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
33,4.35,3.86,4.1,4.13,3.88
37,2.33,1.89,2.13,2.17,1.8
44,3.79,3.3,3.52,3.59,3.28
83,4.3,3.86,4.08,4.13,3.77
85,2.54,2.04,2.32,2.35,2.07
94,3.28,2.79,3.1,3.1,2.83
100,3.06,2.6,2.83,2.88,2.56
127,1.99,1.54,1.77,1.82,1.51
144,3.9,3.44,3.67,3.69,3.41
187,1.96,1.5,1.73,1.79,1.47
198,3.47,3.06,3.25,3.3,2.91
208,3.41,2.93,3.25,3.26,2.94
213,3.93,3.38,3.72,3.71,3.51
232,3.79,3.33,3.56,3.6,3.31
283,3.27,2.8,3.07,3.1,2.79
303,3.92,3.51,3.73,3.78,3.36
323,2.73,2.33,2.52,2.56,2.2
333,2.76,2.24,2.54,2.56,2.32
346,3.63,3.16,3.48,3.48,3.15
401,3.44,2.99,3.23,3.26,2.93
410,3.64,3.14,3.36,3.43,3.17
450,3.58,3.14,3.38,3.42,3.07
457,4.02,3.61,3.8,3.86,3.47
481,2.27,1.85,2.05,2.11,1.75
495,3.9,3.42,3.63,3.71,3.39
516,2.9,2.43,2.69,2.72,2.41
521,4.31,3.91,4.15,4.18,3.78
527,2.87,2.4,2.67,2.69,2.39
564,3.06,2.6,2.85,2.88,2.57
565,3.51,3.02,3.3,3.33,3.04
569,2.79,2.36,2.53,2.61,2.25
580,4.1,3.59,3.86,3.87,3.64
604,3.17,2.74,2.91,2.99,2.62
614,3.84,3.41,3.6,3.64,3.31
632,3.14,2.65,2.91,2.95,2.66
637,2.56,2.11,2.37,2.39,2.06
666,3.99,3.51,3.78,3.8,3.53
680,3.03,2.58,2.83,2.87,2.51
683,3.84,3.35,3.64,3.65,3.38
698,3.2,2.72,2.96,3.0,2.7
707,2.58,2.12,2.31,2.38,2.06
722,2.77,2.31,2.54,2.58,2.28
736,4.15,3.73,3.93,3.99,3.6
848,3.48,3.02,3.27,3.31,3.01
861,2.75,2.27,2.49,2.54,2.25
872,4.82,4.32,4.61,4.6,4.38
875,4.18,3.71,3.9,3.98,3.67
912,3.39,2.89,3.17,3.18,2.93
935,3.27,2.84,3.02,3.09,2.73
956,3.96,3.51,3.66,3.76,3.4
1029,2.83,2.3,2.52,2.59,2.36
1052,4.14,3.74,3.92,3.97,3.58
1119,2.72,2.29,2.49,2.55,2.19
1128,3.32,2.84,3.07,3.12,2.84
1197,2.8,2.34,2.54,2.6,2.31
1209,3.38,2.88,3.17,3.18,2.92
1224,4.74,4.25,4.42,4.55,4.19
1226,3.92,3.44,3.71,3.74,3.45
1258,3.79,3.26,3.55,3.55,3.37
1264,1.79,1.3,1.57,1.6,1.32
